Project Name,Funding ($M),Tasks Required,"Free to Join(Yes=1, No=0)","VC Backing(Yes=1, No=0)",Airdrop Longevity (Days),Token Utility,Team Size,"GitHub Activity(Low=0, Medium=1, High=2)",Twitter Followers,Community Size,"Market Condition(Bull=1, Bear= -1, Neutral=0)",Blockchain,Sector,Initial Value ($),Peak Value ($),Average value($),Success Score (0-10)
Blast,250,Staking,1,1,30,Layer 2,35,1,320000,180000,1,Ethereum,Layer 2,,,,
Taiko,22,Testing,1,1,21,Layer 2,30,2,180000,95000,1,Ethereum,Layer 2,,,,
Linea,45,Trading,1,1,30,Layer 2,40,1,210000,110000,1,Ethereum,Layer 2,,,,
LayerZero,173,Unknown,0,1,14,Interoperability,45,2,290000,150000,1,Multiple,Interoperability,,,,
Starknet,215,Testing,1,1,30,Layer 2,50,2,350000,180000,1,Ethereum,Layer 2,,,,
Scroll,83,Testing,1,1,21,Layer 2,35,2,240000,120000,1,Ethereum,Layer 2,,,,
zkSync,165,Trading,1,1,30,Layer 2,45,2,380000,190000,1,Ethereum,Layer 2,,,,
Fuel,80,Testing,1,1,21,Layer 1,30,2,150000,75000,1,Fuel,Layer 1,,,,
Eigenlayer,100,Staking,1,1,14,Restaking,25,2,210000,105000,1,Ethereum,Staking,,,,
Mantle,200,Trading,1,1,30,Layer 2,40,1,280000,140000,1,Ethereum,Layer 2,,,,
Mode,75,Trading,1,1,21,Layer 2,30,1,170000,85000,1,Ethereum,Layer 2,,,,
Base,0,Trading,1,1,0,Layer 2,60,2,450000,225000,1,Ethereum,Layer 2,,,,
Celestia,55,Staking,1,1,14,Data Availability,25,1,290000,120000,1,Celestia,Layer 1,,,,
Aevo,30,Trading,1,1,21,Derivatives,25,1,180000,90000,1,Ethereum,DeFi,,,,
Sei,125,Trading,1,1,30,Layer 1,35,2,320000,160000,1,Sei,Layer 1,,,,
