Project Name,Funding ($M),Tasks Required,"Free to Join(Yes=1, No=0)","VC Backing(Yes=1, No=0)",Airdrop Longevity (Days),Token Utility,Team Size,"GitHub Activity(Low=0, Medium=1, High=2)",Twitter Followers,Community Size,"Market Condition(Bull=1, Bear= -1, Neutral=0)",Blockchain,Sector,Initial Value ($),Peak Value ($),Average value($),Success Score (0-10)
0x,-0.11317888897913135,Unknown,0,1,-0.2559870639605653,DEX,0.050330857589757354,2,0.00027687610592082063,-0.03616334467834182,1,Ethereum,DeFi,-0.12619506127740304,-0.0848719360304177,-0.09379908408419235,4.2
Aeternity,-0.11317888897913135,Unknown,0,1,-0.2559870639605653,Smart Contract,0.050330857589757354,1,-0.3180059267364186,-0.32378039783366563,1,Aeternity,Layer 1,-0.12627067949237064,-0.08437807111156523,-0.09331610441654611,3.8
Ampleforth,-0.16897680164142911,Unknown,0,1,-0.2559870639605653,Elastic Supply,-0.23217137533339682,1,-0.4337451277699966,-0.41965274888544024,-1,Ethereum,DeFi,-0.12385089661340808,-0.08456178886137834,-0.09331023826673665,3.0
Aragon,-0.10924945850995545,Unknown,0,1,-0.2559870639605653,Governance,-0.1380039643590121,2,-0.2312015259612351,-0.22790804678189103,1,Ethereum,Governance,-0.12410295732996668,-0.08315131065313568,-0.0919336484447814,4.9
AriseBank,2.150173061266186,Unknown,0,0,-0.2559870639605653,Banking,-0.3263387863077815,0,-0.5639517289327718,-0.5474825502878063,1,Ethereum,Banking,-0.12536326091275968,-0.085128745788221,-0.09398875626136516,0.0
Ark,-0.2039487328170946,Unknown,0,1,-0.2559870639605653,"Governance, Layer 1",-0.1380039643590121,1,-0.40481032751160206,-0.3876952985348487,1,ARK,Layer 1,-0.12627067949237064,-0.08321057444339795,-0.09216047290408086,2.5
Augur,-0.18665923875272064,Unknown,0,1,-0.2559870639605653,Prediction Market,-0.23217137533339682,1,-0.3469407269948131,-0.3557378481842572,-1,Ethereum,Prediction,-0.12485913947964246,-0.06102023590951842,-0.07008615117105133,4.5
Bancor,0.3937176415445595,Unknown,0,1,-0.2559870639605653,DEX,-0.04383655338462737,1,-0.20226672570284063,-0.22790804678189103,1,Ethereum,DeFi,-0.1202464283666201,-0.08076297990556508,-0.08927041643128275,4.5
Basis Protocol,0.31512903216104154,Unknown,0,1,-0.2559870639605653,Stablecoin,-0.23217137533339682,1,-0.52054952854518,-0.5155250999372148,-1,Ethereum,Stablecoin,-0.12385089661340808,-0.08516825498172918,-0.09391054093057226,0.0
Benebit,-0.19687575797257797,Unknown,0,0,-0.2559870639605653,Loyalty,-0.514673608256551,0,-0.6102474093462029,-0.5858314907085163,1,Ethereum,Loyalty,-0.12561532162931827,-0.08530653715900788,-0.09418429458834744,0.0
BitClout,0.5784008735958268,Unknown,0,1,-0.2559870639605653,Social,-0.1380039643590121,1,0.0870812768811043,0.02775155602284125,1,BitClout,Social,0.30213171437062536,-0.04546151550598996,-0.02156135994712885,2.5
BitConnect,-0.2074852202393529,Unknown,0,0,-0.2559870639605653,Lending,-0.1380039643590121,0,-0.17333192544444612,-0.16399314608070797,1,BitConnect,DeFi,-0.12594300056084445,0.006097982022208747,-0.0037341306761544276,0.0
Bitconnect X,-0.1681909155475939,Unknown,0,0,-0.2559870639605653,Exchange,-0.514673608256551,0,-0.49161472828678554,-0.4835676495866233,1,BitConnect,Exchange,-0.00034114549969423776,-0.07153758322140079,-0.07083701834666327,0.0
BlockFi,1.1678154439722115,Unknown,0,1,-0.2559870639605653,Lending,15.493786257388853,1,0.3764292794650492,0.3473260595287566,1,Ethereum,DeFi,-0.1262958855640265,-0.08535592365089313,-0.09428597451837824,0.5
Bread,-0.08174344522572416,Unknown,0,1,-0.2559870639605653,Wallet,-0.1380039643590121,1,-0.4337451277699966,-0.41965274888544024,1,Ethereum,Wallet,-0.12412816340162253,-0.0846743900628767,-0.09344320432908461,3.2
