Project Name,Funding ($M),Tasks Required,"Free to Join(Yes=1, No=0)","VC Backing(Yes=1, No=0)",Airdrop Longevity (Days),Token Utility,Team Size,"GitHub Activity(Low=0, Medium=1, High=2)",Twitter Followers,Community Size,"Market Condition(Bull=1, Bear= -1, Neutral=0)",Blockchain,Sector,Initial Value ($),Peak Value ($),Average value($),Success Score (0-10)
0x,24.0,Unknown,0,1,7,DEX,30,2,220000,90000,1,Ethereum,DeFi,0.07,2.5,1.285,4.2
Aeternity,24.0,Unknown,0,1,7,Smart Contract,30,1,110000,45000,1,Aeternity,Layer 1,0.04,5.0,2.52,3.8
Ampleforth,9.8,Unknown,0,1,7,Elastic Supply,15,1,70000,30000,-1,Ethereum,DeFi,1.0,4.07,2.535,3.0
Aragon,25.0,Unknown,0,1,7,Governance,20,2,140000,60000,1,Ethereum,Governance,0.9,11.21,6.055000000000001,4.9
AriseBank,600.0,Unknown,0,0,7,Banking,10,0,25000,10000,1,Ethereum,Banking,0.4,1.2,0.8,0.0
Ark,0.9,Unknown,0,1,7,"Governance, Layer 1",20,1,80000,35000,1,ARK,Layer 1,0.04,10.91,5.475,2.5
Augur,5.3,Unknown,0,1,7,Prediction Market,15,1,100000,40000,-1,Ethereum,Prediction,0.6,123.24,61.919999999999995,4.5
Bancor,153.0,Unknown,0,1,7,DEX,25,1,150000,60000,1,Ethereum,DeFi,2.43,23.3,12.865,4.5
Basis Protocol,133.0,Unknown,0,1,7,Stablecoin,15,1,40000,15000,-1,Ethereum,Stablecoin,1.0,1.0,1.0,0.0
Benebit,2.7,Unknown,0,0,7,Loyalty,0,0,9000,4000,1,Ethereum,Loyalty,0.3,0.3,0.3,0.0
BitClout,200.0,Unknown,0,1,7,Social,20,1,250000,100000,1,BitClout,Social,170.0,202.0,186.0,2.5
BitConnect,0.0,Unknown,0,0,7,Lending,20,0,160000,70000,1,BitConnect,DeFi,0.17,463.0,231.585,0.0
Bitconnect X,10.0,Unknown,0,0,7,Exchange,0,0,50000,20000,1,BitConnect,Exchange,50.0,70.0,60.0,0.0
BlockFi,350.0,Unknown,0,1,7,Lending,850,1,350000,150000,1,Ethereum,DeFi,0.03,0.05,0.04,0.5
Bread,32.0,Unknown,0,1,7,Wallet,20,1,70000,30000,1,Ethereum,Wallet,0.89,3.5,2.195,3.2
Centra Tech,32.0,Unknown,0,0,7,Payment,5,0,70000,30000,1,Ethereum,Payment,0.88,3.84,2.36,0.0
Civic,33.0,Unknown,0,1,7,Identity,20,1,150000,60000,1,Ethereum,Identity,0.1,1.66,0.88,3.8
Concordium,36.0,Unknown,0,1,7,Privacy,50,1,80000,35000,1,Concordium,Privacy,0.12,0.24,0.18,2.5
Confido,0.4,Unknown,0,0,7,Escrow,4,0,20000,8000,1,Ethereum,Escrow,0.1,1.2,0.65,0.0
Cred,26.4,Unknown,0,1,7,Lending,50,1,90000,40000,-1,Ethereum,DeFi,0.15,0.19,0.16999999999999998,0.0
Davorcoin,0.0,Unknown,0,0,7,Lending,0,0,30000,12000,1,Ethereum,Lending,0.95,180.0,90.475,0.0
DeepBrain Chain,11.0,Unknown,0,1,7,AI Computing,25,1,80000,35000,1,NEO,AI,0.02,0.64,0.33,3.0
Dentacoin,2.1,Unknown,0,1,7,Dental,15,0,40000,15000,1,Ethereum,Industry,9.4e-06,0.01,0.0050047,1.0
DragonChain,13.7,Unknown,0,1,7,Blockchain Platform,30,1,90000,40000,1,Ethereum,Infrastructure,0.07,5.27,2.67,3.2
Dusk Network,8.1,Unknown,0,1,7,Privacy,25,1,90000,40000,-1,Dusk,Privacy,0.07,0.69,0.38,3.0
Elastos,94.0,Unknown,0,1,7,Operating System,40,1,110000,45000,1,Elastos,Infrastructure,37.0,89.19,63.095,2.5
Electroneum,40.0,Unknown,0,1,7,Mobile Mining,20,0,320000,150000,1,Electroneum,Mobile,0.01,0.2,0.10500000000000001,2.5
Enigma,45.0,Unknown,0,1,7,Privacy,25,1,80000,35000,1,Ethereum,Privacy,0.6,8.39,4.495,3.0
Envion,100.0,Unknown,0,1,7,Mining,15,0,35000,15000,1,Ethereum,Mining,0.7,2.37,1.5350000000000001,0.2
Fei Protocol,1300.0,Unknown,0,1,7,Stablecoin,20,2,80000,35000,1,Ethereum,Stablecoin,0.97,1.03,1.0,2.5
Auroracoin,0.0,Citizenship,1,0,7,Currency,1,0,20000,8000,-1,Auroracoin,Currency,0.03,97.0,48.515,1.5
Hive,0.0,Content,1,0,7,"Governance, Social",15,1,100000,40000,0,Hive,Social,0.12,3.42,1.77,6.8
Golem,8.6,Unknown,0,1,7,Computing,15,1,120000,50000,-1,Ethereum,Computing,0.01,1.32,0.665,4.0
Hodlnaut,0.0,Unknown,0,0,7,Lending,25,0,50000,20000,-1,Ethereum,DeFi,1.0,1.5,1.25,0.0
ICON,42.5,Unknown,0,1,7,"Governance, Layer 1",30,1,150000,60000,1,ICON,Layer 1,0.11,12.64,6.375,3.8
iFan,0.0,Unknown,0,0,7,Social,0,0,30000,10000,-1,Ethereum,Social,0.01,0.03,0.02,0.0
IOST,31.3,Unknown,0,1,7,Infrastructure,40,1,180000,80000,1,IOST,Layer 1,0.01,0.13,0.07,3.5
Kin,98.0,Unknown,0,1,7,Social,40,1,160000,70000,1,Solana,Social,0.0001,0.001,0.00055,4.2
Komodo,0.0,Unknown,0,1,7,Privacy,20,1,50000,20000,-1,Komodo,Privacy,0.4,15.1,7.75,2.5
Kyber Network,52.0,Unknown,0,1,7,DEX,25,1,130000,55000,1,Ethereum,DeFi,0.38,5.55,2.965,4.0
Lisk,5.8,Unknown,0,1,7,"Governance, Layer 1",25,1,120000,50000,-1,Lisk,Layer 1,0.07,39.31,19.69,2.2
Maidsafe,7.0,Unknown,0,1,7,Storage,15,1,30000,12000,-1,Omni,Storage,0.06,1.2,0.63,3.5
Mastercoin/Omni,0.5,Unknown,0,1,7,Platform,5,1,10000,4000,-1,Omni,Layer 1,0.8,285.0,142.9,2.8
Steemit,0.0,Content,1,0,7,"Governance, Social",20,1,120000,50000,-1,Steem,Social,0.24,8.57,4.405,7.0
Nebulas,60.0,Unknown,0,1,7,Search Engine,35,1,90000,40000,1,Nebulas,Infrastructure,2.0,16.32,9.16,2.8
Nexo,52.5,Unknown,0,1,7,Lending,200,1,280000,120000,-1,Ethereum,DeFi,0.1,4.07,2.085,3.0
Oasis Network,45.0,Unknown,0,1,7,Privacy,40,2,180000,80000,1,Oasis,Privacy,0.03,0.59,0.31,3.8
OneCoin,0.0,Unknown,0,0,7,Payment,30,0,300000,150000,-1,OneCoin,Payment,0.5,6.0,3.25,0.0
Oyster Protocol,8.9,Unknown,0,1,7,Storage,10,1,40000,15000,1,Ethereum,Storage,0.04,4.93,2.485,0.5
Paycoin,0.0,Unknown,0,0,7,Payment,5,0,15000,6000,-1,Paycoin,Payment,20.0,21.3,20.65,0.0
Pincoin,0.0,Unknown,0,0,7,Investment,0,0,40000,15000,-1,Ethereum,Investment,0.05,0.1,0.07500000000000001,0.0
PlexCoin,15.0,Unknown,0,0,7,Payment,3,0,25000,10000,1,Ethereum,Payment,0.13,0.87,0.5,0.0
PlusToken,0.0,Unknown,0,0,7,Wallet,15,0,200000,100000,-1,Ethereum,Wallet,0.3,350.0,175.15,0.0
Power Ledger,34.0,Unknown,0,1,7,Energy,25,1,90000,40000,1,Ethereum,Energy,0.05,2.39,1.22,3.5
Prodeum,6.0,Unknown,0,0,7,Supply Chain,0,0,5000,2000,1,Ethereum,Supply Chain,0.05,0.05,0.05,0.0
Pundi X,35.0,Unknown,0,1,7,Payment,30,1,120000,50000,1,Ethereum,Payment,0.0021,0.0159,0.009000000000000001,2.5
Qtum,15.6,Unknown,0,1,7,"Governance, Layer 1",30,1,180000,80000,1,Qtum,Layer 1,0.3,106.88,53.589999999999996,2.0
REcoin,0.0,Unknown,0,0,7,Real Estate,2,0,15000,5000,1,Ethereum,Real Estate,0.5,0.75,0.625,0.0
Reddcoin,0.0,Unknown,0,1,7,Social,2,0,70000,30000,-1,Reddcoin,Social,1.5e-05,0.03,0.0150075,2.0
SALT,48.0,Unknown,0,1,7,Lending,20,1,80000,35000,1,Ethereum,DeFi,0.25,17.22,8.735,2.0
Savedroid,50.0,Unknown,0,1,7,Savings,20,0,45000,18000,-1,Ethereum,Finance,0.01,0.02,0.015,0.3
Sirin Labs,157.9,Unknown,0,1,7,Hardware,40,1,100000,40000,1,Ethereum,Hardware,0.47,3.48,1.975,2.8
